dataset,lambda,seed,metric,n_confident,n_uncertain,median_confident,median_uncertain,U,p_value,cliffs_delta,effect
telco,0.5,13,jaccard,1279,479,0.6666666666666666,0.6666666666666666,356592.5,1.0787149617147102e-08,0.16411568928622144,small
telco,0.5,14,spearman,1291,467,0.49999999999999994,0.48571428571428577,318599.0,0.06796354586618332,0.05689363191390906,negligible
telco,0.5,14,kendall,1291,467,0.33333333333333337,0.3333333333333333,314952.0,0.14967086799574048,0.04479537964196201,negligible
telco,0.5,14,jaccard,1291,467,0.6666666666666666,0.6666666666666666,317096.5,0.06956293347459395,0.051909364286105264,negligible
telco,0.5,15,spearman,1332,426,0.6571428571428573,0.6571428571428573,278106.0,0.5380317614737764,-0.019773294421181697,negligible
telco,0.5,15,kendall,1332,426,0.4666666666666666,0.4666666666666666,280184.5,0.6972640726929625,-0.012447306461390917,negligible
telco,0.5,15,jaccard,1332,426,0.6666666666666666,0.6666666666666666,274090.0,0.2480429279849613,-0.03392829449167478,negligible
telco,0.5,16,spearman,1258,500,0.6071428571428572,0.6571428571428573,316978.5,0.796137457276286,0.007880763116057343,negligible
telco,0.5,16,kendall,1258,500,0.4666666666666666,0.4666666666666666,315702.0,0.9000028226041056,0.003821939586645451,negligible
telco,0.5,16,jaccard,1258,500,0.6666666666666666,0.6666666666666666,343919.0,0.0007087864801175872,0.09354213036565984,negligible
telco,0.5,17,spearman,1314,444,0.7714285714285715,0.7142857142857143,327754.0,9.349873033509721e-05,0.12356877425370572,negligible
telco,0.5,17,kendall,1314,444,0.6,0.6,332077.5,1.1031638674764278e-05,0.13839010243119843,negligible
telco,0.5,17,jaccard,1314,444,0.6666666666666666,0.6666666666666666,328962.5,7.421199320419871e-06,0.12771161572531442,negligible
telco,0.5,18,spearman,1269,489,0.7142857142857143,0.6,376593.0,3.328145761917153e-12,0.21375702814157327,small
telco,0.5,18,kendall,1269,489,0.6,0.4666666666666666,372041.5,7.505320485258606e-11,0.19908757036199054,small
telco,0.5,18,jaccard,1269,489,0.6666666666666666,0.6666666666666666,370222.5,2.6012418916610596e-12,0.1932249440407645,small
telco,0.5,19,spearman,1231,527,0.7999999999999999,0.7714285714285715,341633.0,0.07572372241840618,0.05322495865042387,negligible
telco,0.5,19,kendall,1231,527,0.6,0.6,343063.0,0.052738203685621224,0.05763352483363837,negligible
telco,0.5,19,jaccard,1231,527,0.6666666666666666,0.6666666666666666,308829.5,0.07409998654285811,-0.047905391553125565,negligible
telco,1.0,0,spearman,1278,480,0.1785714285714286,0.4285714285714286,232540.0,5.102716487480141e-15,-0.24184924360980697,small
telco,1.0,0,kendall,1278,480,0.14285714285714288,0.23809523809523814,233942.0,1.5423459672917563e-14,-0.23727829942618672,small
telco,1.0,0,jaccard,1278,480,0.6666666666666666,0.6666666666666666,303578.5,0.7193950822960486,-0.010242240479916509,negligible
telco,1.0,1,spearman,1342,416,0.3214285714285715,0.41428571428571426,250180.0,0.001365787634003792,-0.10373438037372462,negligible
telco,1.0,1,kendall,1342,416,0.2,0.3333333333333333,244096.5,0.00010406733745658464,-0.1255284162558753,negligible
telco,1.0,1,jaccard,1342,416,0.6666666666666666,0.6666666666666666,234383.5,7.841450011997363e-08,-0.16032507451564826,small
telco,1.0,2,spearman,1310,448,0.2595238095238096,0.2571428571428572,290485.5,0.7500469273069703,-0.010068497818974897,negligible
telco,1.0,2,kendall,1310,448,0.2,0.2,290811.5,0.776485418558116,-0.008957538167938983,negligible
telco,1.0,2,jaccard,1310,448,0.6666666666666666,0.6666666666666666,262329.5,0.0003198054712412753,-0.10601997001090513,negligible
telco,1.0,3,spearman,1251,507,0.42857142857142866,0.42857142857142866,320899.5,0.6956001207292293,0.011891078852894088,negligible
telco,1.0,3,kendall,1251,507,0.3333333333333333,0.3333333333333333,313780.5,0.7278274677900628,-0.010557234685624306,negligible
telco,1.0,3,jaccard,1251,507,0.6666666666666666,0.6666666666666666,325033.5,0.36885542329410104,0.024926804118835078,negligible
telco,1.0,4,spearman,1353,405,0.25,0.2571428571428572,259550.5,0.10727010143785436,-0.05267489711934159,negligible
telco,1.0,4,kendall,1353,405,0.14285714285714288,0.2,253139.0,0.019861310968760967,-0.07607602675353353,negligible
telco,1.0,4,jaccard,1353,405,0.42857142857142855,0.6666666666666666,252942.5,0.01076400704100452,-0.07679322584471637,negligible
